scientific_name,genus,sayer_name,id_difficulty,plant_part,season,best_in,forage_chart,sayer_rating,conservation,sayer_group,page_number,native,sub_location,toxic_lookalike,notes,
Rhus aromatica,Rhus,Fragrant sumac,2,steeped_beverage,early_fall,,"DDFW, BL",,1,12,177,y,,Poison ivy,use berries for sumacade or za'atar,
Rhus aromatica,Rhus,Fragrant sumac,2,seasoning,early_fall,,"DDFW, BL",,1,12,177,y,,,,
Rhus aromatica,Rhus,Fragrant sumac,2,seasoning,early_fall,,"DDFW, BL",,1,12,177,y,,,,
Zanthoxylum americanum,Zanthoxylum,Prickly-ash,1,seasoning,late_summer,,,,1,12,180,y,western,,,
Comptonia peregrina,Comptonia,Sweet-fern,1,steeped_beverage,growing,,,,1,12,182,y,,,use leaves for tea,
Ceanothus americanus,Ceanothus,Large New Jersey tea,2,steeped_beverage,growing,,TP,,2,12,183,y,,,use leaves for tea. Young leaves of early summer are best,
Myrica gale,Myrica,Sweet gale,2,steeped_beverage,growing,,B,,1,12,184,y,,,"use leaves, flower buds, or fruits for tea",
Myrica gale,Myrica,Sweet gale,2,steeped_beverage,growing,,B,,1,12,184,y,,,"use leaves, flower buds, or fruits for seasoning broth",
Myrica pensylvanica,Myrica,Bayberry,2,steeped_beverage,growing,,SS,,1,12,185,y,,,use leaves for tea,
Ledum groenlandicum,Ledum,Labrador tea,1,steeped_beverage,growing,,"B, T",,1,12,186,y,,,,
Chamaedaphne calyculata,Chamaedaphne,Leatherleaf,1,steeped_beverage,year,,B,,1,12,187,y,,,,
Vitis,Vitis,Wild grape,3,shoot,spring,,"DDFW, FP, BL, SS",2,1,13,188,y,,Canada moonseed,,
Vitis,Vitis,Wild grape,3,shoot,early_summer,,"DDFW, FP, BL, SS",2,1,13,188,y,,Canada moonseed,,
Vitis,Vitis,Wild grape,3,leafy_greens,growing,,"DDFW, FP, BL, SS",2,1,13,188,y,,Canada moonseed,,
Vitis,Vitis,Wild grape,3,berry,late_summer,,"DDFW, FP, BL, SS",2,1,13,188,y,,Canada moonseed,,
Vitis,Vitis,Wild grape,3,berry,early_fall,,"DDFW, FP, BL, SS",2,1,13,188,y,,Canada moonseed,,
Smilax,Smilax,Greenbrier,1,shoot,spring,,"DDFW, FP, BL",2,1,13,193,y,,,,
Smilax,Smilax,Greenbrier,1,shoot,early_summer,,"DDFW, FP, BL",2,1,13,193,y,,,,
Celastrus scandens,Celastrus,Bittersweet,2,inner_bark,year,,,1,2,13,195,y,,,especially winter,
Celastrus scandens,Celastrus,Bittersweet,2,shoot,spring,,,1,2,13,195,y,,,,
Celastrus scandens,Celastrus,Bittersweet,2,shoot,early_summer,,,1,2,13,195,y,,,,
Celastrus orbiculatus,Celastrus,Asian bittersweet,2,inner_bark,year,,,1,,13,195,i,,,especially winter,
Celastrus orbiculatus,Celastrus,Asian bittersweet,2,shoot,spring,,,1,,13,195,i,,,,
Celastrus orbiculatus,Celastrus,Asian bittersweet,2,shoot,early_summer,,,1,,13,195,i,,,,
Lonicera japonica,Lonicera,Japanese honeysuckle,2,flower,late_spring,,,2,,13,196,i,southern,,,
Parthenocissus quinquefolia,Parthenocissus,Virginia creeper,2,inner_bark,year,,,1,2,13,197,y,,,,
Parthenocissus quinquefolia,Parthenocissus,Virginia creeper,2,shoot,spring,,,1,2,13,197,y,,,,
Parthenocissus quinquefolia,Parthenocissus,Virginia creeper,2,shoot,early_summer,,,1,2,13,197,y,,,,
Parthenocissus vitacea,Parthenocissus,Woodbine,2,inner_bark,year,,,1,2,13,197,y,,,,
Parthenocissus vitacea,Parthenocissus,Woodbine,2,shoot,spring,,,1,2,13,197,y,,,,
Parthenocissus vitacea,Parthenocissus,Woodbine,2,shoot,early_summer,,,1,2,13,197,y,,,,
Scirpus validus,Scirpus,Soft-stem bulrush,1,lateral_shoot,summer,,OW,1,2,14,200,y,,,,
Scirpus validus,Scirpus,Soft-stem bulrush,1,heart,spring,,OW,3,2,14,200,y,,,,
Scirpus validus,Scirpus,Soft-stem bulrush,1,heart,early_summer,,OW,3,2,14,200,y,,,,
Scirpus validus,Scirpus,Soft-stem bulrush,1,pollen,growing,,OW,2,1,14,200,y,,,seasonality guessed at,
Scirpus validus,Scirpus,Soft-stem bulrush,1,seed/grain,late_summer,,OW,1,1,14,200,y,,,,
Zizania palustris,Zizania,Wild rice,1,seed/grain,late_summer,,OW,3,1,14,203,y,,,rice awns are very sharp,
Bolboschoenus fluviatilis,Bolboschoenus,Sweet bulb-rush,1,tuber,late_spring,,M,3,2,14,204,y,,,,
Bolboschoenus fluviatilis,Bolboschoenus,Sweet bulb-rush,1,tuber,early_summer,,M,3,2,14,204,y,,,,
Bolboschoenus fluviatilis,Bolboschoenus,Sweet bulb-rush,1,tuber,mid_summer,,M,3,2,14,204,y,,,,
Bolboschoenus fluviatilis,Bolboschoenus,Sweet bulb-rush,1,lateral_shoot,summer,,M,2,2,14,204,y,,,,
Bolboschoenus fluviatilis,Bolboschoenus,Sweet bulb-rush,1,heart,spring,,M,3,2,14,204,y,,,stem bases,
Typha,Typha,Cattail,1,rhizome,growing,,"OW, M",2,2,14,205,y,,,,
Typha,Typha,Cattail,1,lateral_shoot,growing,,"OW, M",3,2,14,205,y,,,,
Typha,Typha,Cattail,1,heart,spring,,"OW, M",3,2,14,205,y,,,,
Typha,Typha,Cattail,1,heart,early_summer,,"OW, M",3,2,14,205,y,,,,
Typha,Typha,Cattail,1,shoot,early_summer,,"OW, M",2,2,14,205,y,,,green flower spike,
Typha,Typha,Cattail,1,pollen,growing,,"OW, M",2,2,14,205,y,,,guessing at seasonality,
Sparganium eurycarpum,Sparganium,Great bur-reed,2,tuber,year,,"OW, M",1,2,14,207,y,,,,
Sparganium eurycarpum,Sparganium,Great bur-reed,2,lateral_shoot,summer,,"OW, M",2,2,14,207,y,,,,
Sparganium eurycarpum,Sparganium,Great bur-reed,2,heart,spring,,"OW, M",2,2,14,207,y,,,,
Sparganium eurycarpum,Sparganium,Great bur-reed,2,heart,early_summer,,"OW, M",2,2,14,207,y,,,,
Sparganium eurycarpum,Sparganium,Great bur-reed,2,shoot,early_summer,,"OW, M",2,2,14,207,y,,,tender flower spike,
Sparganium eurycarpum,Sparganium,Great bur-reed,2,shoot,mid_summer,,"OW, M",2,2,14,207,y,,,tender flower spike,
Sparganium eurycarpum,Sparganium,Great bur-reed,2,bud,late_summer,,"OW, M",2,2,14,207,y,,,,
Sparganium eurycarpum,Sparganium,Great bur-reed,2,bud,fall,,"OW, M",2,2,14,207,y,,,,
Acorus,Acorus,Calamus,1,seasoning,year,,"OW, M",,2,14,208,y,,,,
Acorus,Acorus,Calamus,1,heart,spring,,"OW, M",2,2,14,208,y,,,seasonaility from open water forage chart,
Acorus,Acorus,Calamus,1,heart,early_summer,,"OW, M",2,2,14,208,y,,,seasonaility from open water forage chart,
Acorus,Acorus,Calamus,1,pod,late_spring,,"OW, M",2,2,14,208,y,,,seasonaility from open water forage chart,
Acorus,Acorus,Calamus,1,pod,early_summer,,"OW, M",2,2,14,208,y,,,seasonaility from open water forage chart,
Vallisneria americana,Vallisneria,American eelgrass,1,pod,late_summer,,OW,2,1,15,211,y,,,,
Vallisneria americana,Vallisneria,American eelgrass,1,pod,early_fall,,OW,2,1,15,211,y,,,,
Nasturtium officinale,Nasturtium,Watercress,1,leafy_greens,late_winter,spring,SBF,3,,15,212,i,,,,
Nasturtium officinale,Nasturtium,Watercress,1,leafy_greens,spring,spring,SBF,3,,15,212,i,,,,
Nasturtium officinale,Nasturtium,Watercress,1,leafy_greens,summer,spring,SBF,3,,15,212,i,,,,
Nasturtium officinale,Nasturtium,Watercress,1,leafy_greens,fall,spring,SBF,3,,15,212,i,,,,
Veronica americana,Veronica,Brooklime,2,leafy_greens,spring,,SBF,1,2,15,218,y,,,,
Veronica americana,Veronica,Brooklime,2,leafy_greens,summer,,SBF,1,2,15,218,y,,,,
Veronica americana,Veronica,Brooklime,2,leafy_greens,early_fall,,SBF,1,2,15,218,y,,,,
Trapa natans,Trapa,Water-chestnut,1,nut,late_summer,,OW,3,,15,220,i,,,,
Sagittaria latifolia,Sagittaria,Wapato,2,tuber,year,,"OW, M",3,2,15,222,y,,,,
Sagittaria latifolia,Sagittaria,Wapato,2,lateral_shoot,year,,"OW, M",2,2,15,222,y,,,,
Sagittaria latifolia,Sagittaria,Wapato,2,leafy_greens,late_spring,,"OW, M",2,1,15,222,y,,,,
Sagittaria latifolia,Sagittaria,Wapato,2,leafy_greens,summer,,"OW, M",2,1,15,222,y,,,,
Sagittaria latifolia,Sagittaria,Wapato,2,shoot,summer,,"OW, M",2,1,15,222,y,,,,
Alisma plantago-aquatica,Alisma,Water-plantain,2,tuber,fall,,M,1,3,15,224,y,,,,
Alisma plantago-aquatica,Alisma,Water-plantain,2,tuber,winter,,M,1,3,15,224,y,,,,
Alisma plantago-aquatica,Alisma,Water-plantain,2,tuber,spring,,M,1,3,15,224,y,,,,
Alisma plantago-aquatica,Alisma,Water-plantain,2,leafy_greens,spring,,M,2,3,15,224,y,,,,
Alisma plantago-aquatica,Alisma,Water-plantain,2,leafy_greens,early_summer,,M,2,3,15,224,y,,,,
Alisma plantago-aquatica,Alisma,Water-plantain,2,shoot,spring,,M,2,3,15,224,y,,,,
Alisma plantago-aquatica,Alisma,Water-plantain,2,shoot,early_summer,,M,2,3,15,224,y,,,,
Brasenia schreberi,Brasenia,Water shield,1,leafy_greens,growing,,,1,2,15,225,y,,,guessing at seasonality. Look for still coiled young leaves,
Nelumbo lutea,Nelumbo,American lotus,1,tuber,late_summer,,OW,2,2,15,226,y,,,,
Nelumbo lutea,Nelumbo,American lotus,1,tuber,fall,,OW,2,2,15,226,y,,,,
Nelumbo lutea,Nelumbo,American lotus,1,tuber,winter,,OW,2,2,15,226,y,,,,
Nelumbo lutea,Nelumbo,American lotus,1,tuber,spring,,OW,2,2,15,226,y,,,,
Nelumbo lutea,Nelumbo,American lotus,1,nut,late_summer,,OW,3,1,15,226,y,,,,
Nelumbo lutea,Nelumbo,American lotus,1,nut,fall,,OW,3,1,15,226,y,,,,
Nelumbo lutea,Nelumbo,American lotus,1,leafy_greens,growing,,OW,1,1,15,226,y,,,"guessing at seasonality. Young leaves, so probably spring",
Nuphar,Nuphar,Yellow pond-lily,1,rhizome,year,,OW,1,3,15,227,y,,,"largely inedible, takes several soakings",
Nuphar,Nuphar,Yellow pond-lily,1,seed/grain,summer,,OW,2,1,15,227,y,,,,
Nuphar,Nuphar,Yellow pond-lily,1,seed/grain,early_fall,,OW,2,1,15,227,y,,,,
Pontederia cordata,Pontederia,Pickerelweed,1,shoot,early_summer,,,1,2,15,231,y,,,,
Pontederia cordata,Pontederia,Pickerelweed,1,pod,late_summer,,,1,1,15,231,y,,,,
Pontederia cordata,Pontederia,Pickerelweed,1,seed/grain,growing,,,2,2,15,231,y,,,guessing at seasonality,
Allium tricoccum,Allium,Ramp,1,bulb,late_spring,,"MF, FP",3,3,16,233,y,,,,
Allium tricoccum,Allium,Ramp,1,bulb,early_summer,,"MF, FP",3,3,16,233,y,,,,
Allium tricoccum,Allium,Ramp,1,leafy_greens,spring,,"MF, FP",3,2,16,233,y,,,,
Allium tricoccum,Allium,Ramp,1,shoot,growing,,"MF, FP",3,2,16,233,y,,,"guessing at seasonality. Any tender part including scapes, flower buds, and green pods",
Allium vineale,Allium,Ramp,1,bulb,late_spring,,"MF, FP",3,3,16,233,y,,,,
Allium vineale,Allium,Ramp,1,bulb,early_summer,,"MF, FP",3,3,16,233,y,,,,
Allium vineale,Allium,Ramp,1,leafy_greens,spring,,"MF, FP",3,2,16,233,y,,,,
Allium vineale,Allium,Ramp,1,shoot,growing,,"MF, FP",3,2,16,233,y,,,"guessing at seasonality. Any tender part including scapes, flower buds, and green pods",
Allium vineale,Allium,Field garlic,1,bulb,late_spring,,"FD, YL",2,,16,234,i,,,,
Allium vineale,Allium,Field garlic,1,bulb,summer,,"FD, YL",2,,16,234,i,,,,
Allium vineale,Allium,Field garlic,1,leafy_greens,late_winter,,"FD, YL",2,,16,234,i,,,,
Allium vineale,Allium,Field garlic,1,leafy_greens,spring,,"FD, YL",2,,16,234,i,,,,
Allium schoenoprasum,Allium,Chive,1,bulb,year,dormant,"SS, T",2,3,16,236,y,,,,
Allium schoenoprasum,Allium,Chive,1,leafy_greens,spring,,"SS, T",2,2,16,236,y,,,,
Allium schoenoprasum,Allium,Chive,1,leafy_greens,early_summer,,"SS, T",2,2,16,236,y,,,,
Allium schoenoprasum,Allium,Chive,1,leafy_greens,fall,,"SS, T",2,2,16,236,y,,,,
Allium schoenoprasum,Allium,Chive,1,flower,early_summer,,"SS, T",2,1,16,236,y,,,,
Allium schoenoprasum,Allium,Chive,1,flower,mid_summer,,"SS, T",2,1,16,236,y,,,,
Allium sativum,Allium,Feral garlic,2,bulb,late_spring,,,3,3,16,237,y,,,seasonality and conservation taken from Ramp.,
Allium sativum,Allium,Feral garlic,2,bulb,early_summer,,,3,3,16,237,y,,,seasonality and conservation taken from Ramp.,
Allium sativum,Allium,Feral garlic,2,leafy_greens,spring,,,2,2,16,237,y,,,seasonality and conservation taken from Ramp.,
Allium sativum,Allium,Feral garlic,2,shoot,late_spring,,,3,2,16,237,y,,,seasonality and conservation taken from Ramp. Shoots = scapes,
Allium canadense,Allium,American garlic,2,bulb,summer,,"DDFW, MF, FP",3,3,16,238,y,,,,
Allium canadense,Allium,American garlic,2,leafy_greens,early_spring,,"DDFW, MF, FP",3,2,16,238,y,,,,
Allium canadense,Allium,American garlic,2,leafy_greens,mid_spring,,"DDFW, MF, FP",3,2,16,238,y,,,,
Tragopogon,Tragopogon,Salsify,2,roots,fall,,"FD, SMGP, DS",3,,17,244,n,,,use plants without stalks,
Tragopogon,Tragopogon,Salsify,2,roots,early_spring,,"FD, SMGP, DS",3,,17,244,n,,,use plants without stalks,
Tragopogon,Tragopogon,Salsify,2,leafy_greens,spring,,"FD, SMGP, DS",2,,17,244,n,,,,
Tragopogon,Tragopogon,Salsify,2,shoot,late_spring,,"FD, SMGP, DS",3,,17,244,n,,,,
Tragopogon,Tragopogon,Salsify,2,bud,summer,,"FD, SMGP, DS",3,,17,244,n,,,,
Tradescantia,Tradescantia,Spiderwort,1,peeled_shoot,growing,spring,"DDFW, FP, TP, SMGP",2,2,17,245,y,,,,
Tradescantia,Tradescantia,Spiderwort,1,leafy_greens,spring,,"DDFW, FP, TP, SMGP",2,2,17,245,y,,,,
Tradescantia,Tradescantia,Spiderwort,1,leafy_greens,early_summer,,"DDFW, FP, TP, SMGP",2,2,17,245,y,,,,
Tradescantia,Tradescantia,Spiderwort,1,bud,summer,,"DDFW, FP, TP, SMGP",2,2,17,245,y,,,,
Tradescantia,Tradescantia,Spiderwort,1,flower,summer,,"DDFW, FP, TP, SMGP",2,2,17,245,y,,,,
Cyperus esculentus,Cyperus,Chufa,2,tuber,fall,,"FP, DS",2,1,17,247,y,,,tubers can be dried and ground into flour that can be used in bread or to make horchata,
Cyperus esculentus,Cyperus,Chufa,2,tuber,winter,,"FP, DS",2,1,17,247,y,,,,
Cyperus esculentus,Cyperus,Chufa,2,tuber,spring,,"FP, DS",2,1,17,247,y,,,,
Phragmites communis,Phragmites,Phragmites reed,1,shoot,growing,,M,1,1,17,251,y,,,guessing at seasonality,
Phragmites communis,Phragmites,Phragmites reed,1,lateral_shoot,summer,,M,1,1,17,251,y,,,,
Yucca,Yucca,Yucca,1,shoot,late_spring,,"FD, SMGP",2,2,17,257,y,,,,
Yucca,Yucca,Yucca,1,shoot,early_summer,,"FD, SMGP",2,2,17,257,y,,,,
Yucca,Yucca,Yucca,1,flower,mid_summer,,"FD, SMGP",2,2,17,257,y,,,flower petals,
Triglochin maritima,Triglochin,Seaside arrow-grass,2,heart,spring,,"SS, M",3,2,17,260,y,,,,
Triglochin maritima,Triglochin,Seaside arrow-grass,2,heart,early_summer,,"SS, M",3,2,17,260,y,,,,
Triglochin maritima,Triglochin,Seaside arrow-grass,2,heart,growing,,"SS, M",3,2,17,260,y,,,guessing at seasonality.,
Muscari,Muscari,Grape hyacinth,2,bulb,growing,,YL,1,,17,261,n,,Star-of-Bethelhem,guessing at seasonality,
Muscari,Muscari,Grape hyacinth,2,flower,growing,,YL,1,,17,261,n,,Star-of-Bethelhem,guessing at seasonality,
Muscari,Muscari,Grape hyacinth,2,steeped_beverage,growing,,YL,1,,17,261,n,,Star-of-Bethelhem,guessing at seasonality,
Aplectrum hyemale,Aplectrum,Puttyroot,1,bulb,year,,,2,3,18,264,y,,,,
Asarum canadense,Asarum,Wild ginger,2,seasoning,year,,MF,,3,18,266,y,,,,
Erythronium,Erythronium,Trout lily,1,bulb,year,,"MF, FP",3,3,18,267,y,,,,
Erythronium,Erythronium,Trout lily,1,leafy_greens,growing,,"MF, FP",2,2,18,267,y,,,guessing at seasonality,
Clintonia borealis,Clintonia,Bluebead lily,2,leafy_greens,early_spring,,"NCBF, FP",1,2,18,268,y,,Lily of the valley,,
Plantago major,Plantago,Common plantain,1,leafy_greens,growing,,"FD, YL",1,1,18,272,y,,,guessing at seasonality: young leaves,
Plantago major,Plantago,Common plantain,1,shoot,summer,,"FD, YL",1,1,18,272,y,,,,
Plantago major,Plantago,Common plantain,1,seed/grain,late_summer,,"FD, YL",2,1,18,272,y,,,,
Plantago major,Plantago,Common plantain,1,seed/grain,fall,,"FD, YL",2,1,18,272,y,,,,
Plantago rugelii,Plantago,Common plantain,1,leafy_greens,growing,,"FD, YL",1,1,18,272,y,,,guessing at seasonality: young leaves,
Plantago rugelii,Plantago,Common plantain,1,shoot,summer,,"FD, YL",1,1,18,272,y,,,,
Plantago rugelii,Plantago,Common plantain,1,seed/grain,late_summer,,"FD, YL",2,1,18,272,y,,,,
Plantago rugelii,Plantago,Common plantain,1,seed/grain,fall,,"FD, YL",2,1,18,272,y,,,,
Plantago lanceolata,Plantago,Narrow-leaf plantain,1,leafy_greens,growing,,"FD, YL",1,1,18,273,y,,,guessing at seasonality: young leaves,
Plantago lanceolata,Plantago,Narrow-leaf plantain,1,shoot,summer,,"FD, YL",1,1,18,273,y,,,,
Viola sororia,Viola,Common blue violet,2,leafy_greens,growing,spring/early_summer,"FD, YL, TP",2,1,19,275,y,,,,
Viola sororia,Viola,Common blue violet,2,flower,growing,,"FD, YL, TP",2,1,19,275,y,,,,
Viola sagittata,Viola,Arrowhead violet,2,leafy_greens,growing,spring/early_summer,"DDFW, SEF",2,2,19,276,y,,,best_in from Common blue violet,
Viola sagittata,Viola,Arrowhead violet,2,flower,growing,,"DDFW, SEF",2,1,19,276,y,,,,
Viola pedata,Viola,Birdfoot violet,3,leafy_greens,growing,,SMGP,2,2,19,277,y,,"Larkspurs, Monkshood",,
Viola pedata,Viola,Birdfoot violet,3,flower,growing,,SMGP,2,1,19,277,y,,"Larkspurs, Monkshood",,
Taraxacum officinale,Taraxacum,Dandelion,2,roots,growing,,"FD, YL, DS",1,1,19,278,y,,,young plants,
Taraxacum officinale,Taraxacum,Dandelion,2,heart,early_spring,,"FD, YL, DS",3,1,19,278,y,,,,
Taraxacum officinale,Taraxacum,Dandelion,2,leafy_greens,year,spring,"FD, YL, DS",3,1,19,278,y,,,,
Taraxacum officinale,Taraxacum,Dandelion,2,shoot,growing,,"FD, YL, DS",1,1,19,278,y,,,flower stalks,
Taraxacum officinale,Taraxacum,Dandelion,2,flower,growing,,"FD, YL, DS",2,1,19,278,y,,,,
Taraxacum officinale,Taraxacum,Dandelion,2,steeped_beverage,year,,"FD, YL, DS",,1,19,278,y,,,"dired roots for coffee, flowers for tea or dandelion wine",
Krigia dandelion,Krigia,Potato dandelion,2,tuber,year,,,2,2,19,279,y,,,,
Krigia dandelion,Krigia,Potato dandelion,2,leafy_greens,growing,early_spring,,2,1,19,279,y,,,best in early spring,
Krigia dandelion,Krigia,Potato dandelion,2,flower,growing,,,2,1,19,279,y,,,,
Pyrrhopappus grandiflorus,Pyrrhopappus,Tuberous false dandelion,2,tuber,year,dormant,YL,1,3,19,280,y,,,seasonality from field forage chart.,
Pyrrhopappus grandiflorus,Pyrrhopappus,Tuberous false dandelion,2,leafy_greens,growing,,YL,1,2,19,280,y,,,,
Pyrrhopappus grandiflorus,Pyrrhopappus,Tuberous false dandelion,2,shoot,growing,,YL,1,2,19,280,y,,,,
Hypochaeris radicata,Hypochaeris,Hairy cat's ear,1,leafy_greens,growing,late_spring/early_summer,YL,2,,19,281,n,,,best in late spring/early_summer,started best_in here
Hypochaeris radicata,Hypochaeris,Hairy cat's ear,1,shoot,growing,,YL,2,,19,281,n,,,pick when short and before they branch,
Leontodon autumnalis,Leontodon,Fall dandelion,2,leafy_greens,growing,,,1,,19,282,n,,,,
Bellis perennis,Bellis,English daisy,1,leafy_greens,growing,,YL,1,,19,284,n,,,,
Bellis perennis,Bellis,English daisy,1,flower,spring,,YL,1,,19,284,n,,,,
Bellis perennis,Bellis,English daisy,1,flower,early_summer,,YL,1,,19,284,n,,,,
Saxifraga pensylvanica,Saxifraga,Swamp saxifrage,1,leafy_greens,growing,,"FP, S",1,2,19,284,y,,,young leaves,
Saxifraga pensylvanica,Saxifraga,Swamp saxifrage,1,shoot,mid_summer,,"FP, S",3,2,19,284,y,,,,
Tussilago farfara,Tussilago,Coltsfoot,1,leafy_greens,mid_spring,,DS,1,,19,286,n,,,,
Tussilago farfara,Tussilago,Coltsfoot,1,leafy_greens,late_spring,,DS,1,,19,286,n,,,,
Tussilago farfara,Tussilago,Coltsfoot,1,shoot,early_spring,,DS,3,,19,286,n,,,,
Petasites frigidus,Petasites,Northern coltsfoot,1,leafy_greens,growing,,NCBF,1,2,19,287,y,,,"""barely edible""",
Petasites frigidus,Petasites,Northern coltsfoot,1,shoot,early_spring,,NCBF,2,2,19,287,y,,,,
Aralia nudicaulis,Aralia,Wild sarsaparilla,2,steeped_beverage,year,,"DDFW, NCBF, BL",,3,19,290,y,,,boil rhizomes for tea,
Aralia nudicaulis,Aralia,Wild sarsaparilla,2,shoot,spring,,"DDFW, NCBF, BL",2,2,19,290,y,,Red baneberry,Seasonality from deciduous forest forage chart,
Aralia nudicaulis,Aralia,Wild sarsaparilla,2,berry,mid_summer,,"DDFW, NCBF, BL",1,3,19,290,y,,,,
Aralia nudicaulis,Aralia,Wild sarsaparilla,2,berry,late_summer,,"DDFW, NCBF, BL",1,3,19,290,y,,,,
Aralia nudicaulis,Aralia,Wild sarsaparilla,2,berry,fall,,"DDFW, NCBF, BL",1,3,19,290,y,,,,
Trifolium repens,Trifolium,White clover,1,leafy_greens,growing,spring,"FD, YL",1,,20,292,n,,,,
Trifolium repens,Trifolium,White clover,1,flower,growing,,"FD, YL",2,,20,292,n,,,,
Trifolium repens,Trifolium,White clover,1,steeped_beverage,growing,,"FD, YL",,,20,292,n,,,use dried or fresh flowers for tea,switch invasive col to native here
Potentilla anserina,Potentilla,Silverweed,1,rhizome,fall,,,2,2,20,297,y,,,,
Potentilla anserina,Potentilla,Silverweed,1,rhizome,winter,,,2,2,20,297,y,,,,
Potentilla anserina,Potentilla,Silverweed,1,rhizome,spring,,,2,2,20,297,y,,,,
Fragaria,Fragaria,Strawberry,2,berry,late_spring,,"FD, TP, T",3,1,20,298,y,,,,
Fragaria,Fragaria,Strawberry,2,berry,early_summer,,"FD, TP, T",3,1,20,298,y,,,,
Fragaria,Fragaria,Strawberry,2,steeped_beverage,growing,,"FD, TP, T",,1,20,298,y,,,use leaves for tea,
Oxalis violacea,Oxalis,Violet wood sorrel,1,bulb,growing,,"DDFW, TP",2,3,20,299,y,,,guesing seasonality,
Oxalis violacea,Oxalis,Violet wood sorrel,1,roots,growing,,"DDFW, TP",2,3,20,299,y,,,guesing seasonality,
Oxalis violacea,Oxalis,Violet wood sorrel,1,leafy_greens,spring,,"DDFW, TP",3,2,20,299,y,,,all above ground parts edible,
Oxalis violacea,Oxalis,Violet wood sorrel,1,flower,spring,,"DDFW, TP",,2,20,299,y,,,all above ground parts edible,
Mollugo verticillata,Mollugo,Carpetweed,1,leafy_greens,growing,,,2,1,21,304,y,,,tender leaves,
Silphium perfoliatum,Silphium,Cup plant,1,peeled_shoot,spring,,"FP, TP",2,2,21,307,y,,,,
Silphium perfoliatum,Silphium,Cup plant,1,peeled_shoot,summer,,"FP, TP",2,1,21,307,y,,,,
Silphium perfoliatum,Silphium,Cup plant,1,petiole,spring,,"FP, TP",2,1,21,307,y,,,,
Silphium perfoliatum,Silphium,Cup plant,1,petiole,summer,,"FP, TP",2,2,21,307,y,,,,
Silphium perfoliatum,Silphium,Cup plant,1,leafy_greens,spring,,"FP, TP",1,2,21,307,y,,,,
Silphium perfoliatum,Silphium,Cup plant,1,leafy_greens,summer,,"FP, TP",1,2,21,307,y,,,,
Claytonia,Claytonia,Spring beauty,1,tuber,year,,"MF, FP",3,3,21,309,y,,,best when tops are dorman,
Claytonia,Claytonia,Spring beauty,1,leafy_greens,spring,,"MF, FP",2,2,21,309,y,,,all above-ground parts are edible,
Claytonia,Claytonia,Spring beauty,1,flower,spring,,"MF, FP",2,2,21,309,y,,,all above-ground parts are edible,
Prunella vulgaris,Prunella,Heal-all,3,leafy_greens,spring,spring,MF,1,1,21,310,y,,,,
Prunella vulgaris,Prunella,Heal-all,3,leafy_greens,early_summer,spring,MF,1,1,21,310,y,,,,
Silene vulgaris,Silene,Bladder campion,2,leafy_greens,spring,spring/early_summer,"FD, DS",3,1,21,311,n,,,young leaves and stems,
Silene vulgaris,Silene,Bladder campion,2,leafy_greens,early_summer,spring/early_summer,"FD, DS",3,1,21,311,n,,,young leaves and stems,
Silene vulgaris,Silene,Bladder campion,2,leafy_greens,mid_summer,spring/early_summer,"FD, DS",3,1,21,311,n,,,tender tips with flower buds,
Silene csereii,Silene,Bladder campion,2,leafy_greens,spring,spring/early_summer,"FD, DS",3,1,21,311,n,,,young leaves and stems,
Silene csereii,Silene,Bladder campion,2,leafy_greens,early_summer,spring/early_summer,"FD, DS",3,1,21,311,n,,,young leaves and stems,
Silene csereii,Silene,Bladder campion,2,leafy_greens,mid_summer,spring/early_summer,"FD, DS",3,1,21,311,n,,,tender tips with flower buds,
Silene alba,Silene,White campion,2,leafy_greens,spring,,,1,,21,312,n,,,,
Podophyllum peltatum,Podophyllum,Mayapple,1,large_fleshy_fruit,late_summer,,DDFW,3,1,21,313,y,,,seeds and unripe fruit are toxic (and taste terrible).,
Dentaria laciniata,Dentaria,Cut-leaf toohwort,2,leafy_greens,spring,,"DDFW, MF, FP",2,1,21,314,y,,,entire above ground part,
Dentaria laciniata,Dentaria,Cut-leaf toohwort,2,seasoning,year,,"DDFW, MF, FP",,2,21,314,y,,,tubers have a strong horseradish flavor,
Dentaria diphylla,Dentaria,Broad-leaved toothwort,2,leafy_greens,spring,,"DDFW, MF, FP",2,1,21,314,y,,,entire above ground part,
Dentaria diphylla,Dentaria,Broad-leaved toothwort,2,seasoning,year,,"DDFW, MF, FP",,2,21,314,y,,,rhizomes have a strong horseradish flavor,
Rumex acetosella,Rumex,Sheep sorrel,1,leafy_greens,growing,spring/fall,"FD, YL, DS",3,,22,318,unknown,,,,
Rumex acetosa,Rumex,Sorrel,1,leafy_greens,growing,spring/early_summer/late_summer/fall,FD,3,1,22,318,y,,,,
Ficaria verna,Ficaria,Lesser celandine,1,tuber,year,late_summer/fall/winter,,2,,22,321,i,,,,
Ficaria verna,Ficaria,Lesser celandine,1,leafy_greens,spring,,,1,,22,321,i,,,,
Rumex crispus,Rumex,Curly dock,1,peeled_shoot,growing,spring,"FD, DS",2,,22,323,n,,,seasonality from fields forage chart,
Rumex crispus,Rumex,Curly dock,1,leafy_greens,growing,spring,"FD, DS",2,,22,323,n,,,seasonality from fields forage chart,
